route,weather,hour,day_of_week,delay_minutes
Route 33 (CBD-Umoja),cloudy,16.0,Wednesday,8.4
Route 46 (CBD-Kikuyu),sunny,22.0,Wednesday,8.1
Route 9 (CBD-Karen),sunny,8.0,Saturday,13.1
Route 9 (CBD-Karen),cloudy,13.0,Friday,10.2
Route 33 (CBD-Umoja),,13.0,Monday,23.4
Route 9 (CBD-Karen),cloudy,19.0,Friday,23.4
Route 58 (CBD-Westlands),sunny,16.0,Friday,4.9
Route 9 (CBD-Karen),sunny,16.0,Tuesday,11.3
Route 46 (CBD-Kikuyu),heavy_rain,9.0,Tuesday,42.1
Route 111 (CBD-Rongai),sunny,10.0,Saturday,11.3
Route 58 (CBD-Westlands),light_rain,10.0,Sunday,
Route 111 (CBD-Rongai),cloudy,11.0,Sunday,21.7
Route 58 (CBD-Westlands),cloudy,5.0,Saturday,14.1
Route 9 (CBD-Karen),light_rain,21.0,Thursday,12.6
Route 33 (CBD-Umoja),sunny,13.0,Tuesday,
Route 46 (CBD-Kikuyu),heavy_rain,16.0,Saturday,30.9
Route 33 (CBD-Umoja),,11.0,Wednesday,23.1
Route 46 (CBD-Kikuyu),cloudy,16.0,Thursday,14.9
Route 9 (CBD-Karen),sunny,14.0,Friday,9.3
Route 9 (CBD-Karen),cloudy,11.0,Thursday,7.6
Route 58 (CBD-Westlands),light_rain,17.0,Friday,24.4
Route 46 (CBD-Kikuyu),light_rain,19.0,Thursday,35.7
Route 58 (CBD-Westlands),sunny,14.0,Friday,17.4
Route 58 (CBD-Westlands),light_rain,,Sunday,14.9
Route 111 (CBD-Rongai),sunny,19.0,Thursday,32.0
Route 111 (CBD-Rongai),heavy_rain,17.0,Tuesday,54.6
Route 33 (CBD-Umoja),heavy_rain,12.0,Tuesday,16.6
Route 46 (CBD-Kikuyu),cloudy,8.0,Thursday,28.2
Route 46 (CBD-Kikuyu),light_rain,19.0,Friday,38.6
Route 46 (CBD-Kikuyu),heavy_rain,10.0,Saturday,29.5
Route 9 (CBD-Karen),heavy_rain,12.0,Wednesday,30.3
Route 9 (CBD-Karen),light_rain,22.0,Monday,5.5
Route 58 (CBD-Westlands),sunny,18.0,Thursday,25.3
Route 111 (CBD-Rongai),heavy_rain,5.0,Sunday,39.5
Route 9 (CBD-Karen),light_rain,17.0,Sunday,20.8
Route 46 (CBD-Kikuyu),cloudy,20.0,Tuesday,17.2
Route 111 (CBD-Rongai),cloudy,19.0,Tuesday,23.6
Route 46 (CBD-Kikuyu),sunny,7.0,Saturday,19.1
Route 9 (CBD-Karen),heavy_rain,15.0,Tuesday,25.4
Route 9 (CBD-Karen),heavy_rain,,Sunday,25.9
Route 9 (CBD-Karen),cloudy,7.0,Sunday,
Route 58 (CBD-Westlands),cloudy,5.0,Friday,11.2
Route 46 (CBD-Kikuyu),cloudy,19.0,Saturday,20.8
Route 33 (CBD-Umoja),cloudy,14.0,Monday,13.3
Route 111 (CBD-Rongai),heavy_rain,11.0,Monday,44.5
Route 9 (CBD-Karen),sunny,6.0,Wednesday,7.9
Route 9 (CBD-Karen),sunny,18.0,Sunday,18.1
Route 111 (CBD-Rongai),cloudy,18.0,Tuesday,32.0
Route 46 (CBD-Kikuyu),heavy_rain,19.0,Thursday,47.5
Route 58 (CBD-Westlands),sunny,13.0,Thursday,9.2
Route 111 (CBD-Rongai),light_rain,5.0,Thursday,27.5
Route 9 (CBD-Karen),light_rain,13.0,Friday,
Route 58 (CBD-Westlands),sunny,12.0,Saturday,2.1
Route 111 (CBD-Rongai),,19.0,Sunday,50.4
Route 58 (CBD-Westlands),light_rain,16.0,Thursday,20.2
Route 46 (CBD-Kikuyu),light_rain,16.0,Saturday,18.4
Route 58 (CBD-Westlands),light_rain,8.0,Saturday,24.3
Route 58 (CBD-Westlands),heavy_rain,13.0,Saturday,19.1
Route 33 (CBD-Umoja),cloudy,14.0,Tuesday,7.9
Route 58 (CBD-Westlands),light_rain,6.0,Monday,17.8
Route 111 (CBD-Rongai),sunny,5.0,Friday,14.8
Route 33 (CBD-Umoja),light_rain,20.0,Monday,12.2
Route 33 (CBD-Umoja),cloudy,9.0,Sunday,17.2
Route 33 (CBD-Umoja),heavy_rain,12.0,Sunday,22.7
Route 46 (CBD-Kikuyu),heavy_rain,14.0,Friday,34.3
Route 58 (CBD-Westlands),cloudy,13.0,Saturday,11.4
Route 58 (CBD-Westlands),sunny,18.0,Thursday,
Route 9 (CBD-Karen),light_rain,19.0,Monday,18.3
Route 46 (CBD-Kikuyu),cloudy,18.0,Monday,26.7
Route 58 (CBD-Westlands),sunny,6.0,Tuesday,12.2
Route 9 (CBD-Karen),heavy_rain,8.0,Thursday,43.9
Route 46 (CBD-Kikuyu),heavy_rain,19.0,Monday,42.8
Route 46 (CBD-Kikuyu),light_rain,5.0,Monday,23.6
Route 46 (CBD-Kikuyu),,13.0,Friday,13.9
Route 111 (CBD-Rongai),light_rain,10.0,Friday,24.1
Route 111 (CBD-Rongai),light_rain,18.0,Wednesday,43.4
Route 111 (CBD-Rongai),heavy_rain,14.0,Saturday,42.2
Route 111 (CBD-Rongai),sunny,15.0,Wednesday,21.2
Route 46 (CBD-Kikuyu),sunny,22.0,Thursday,10.4
Route 111 (CBD-Rongai),heavy_rain,6.0,Tuesday,48.8
Route 111 (CBD-Rongai),sunny,5.0,Saturday,8.4
Route 46 (CBD-Kikuyu),sunny,22.0,Thursday,16.3
Route 111 (CBD-Rongai),sunny,9.0,Thursday,36.8
Route 111 (CBD-Rongai),heavy_rain,20.0,Tuesday,39.2
Route 46 (CBD-Kikuyu),cloudy,7.0,Wednesday,24.5
Route 46 (CBD-Kikuyu),light_rain,5.0,Wednesday,22.8
Route 111 (CBD-Rongai),cloudy,19.0,Friday,29.6
Route 111 (CBD-Rongai),heavy_rain,15.0,Sunday,33.0
Route 58 (CBD-Westlands),heavy_rain,6.0,Wednesday,29.1
Route 111 (CBD-Rongai),cloudy,20.0,Monday,17.4
Route 33 (CBD-Umoja),heavy_rain,,Friday,31.1
Route 58 (CBD-Westlands),sunny,20.0,Sunday,4.3
Route 33 (CBD-Umoja),light_rain,22.0,Thursday,19.0
Route 111 (CBD-Rongai),sunny,7.0,Tuesday,24.9
Route 33 (CBD-Umoja),heavy_rain,8.0,Sunday,23.9
Route 9 (CBD-Karen),sunny,6.0,Wednesday,13.3
Route 58 (CBD-Westlands),cloudy,21.0,Thursday,9.5
Route 33 (CBD-Umoja),heavy_rain,12.0,Thursday,20.1
Route 9 (CBD-Karen),,13.0,Saturday,25.2
Route 46 (CBD-Kikuyu),cloudy,7.0,Thursday,20.4
Route 111 (CBD-Rongai),light_rain,19.0,Sunday,35.5
Route 33 (CBD-Umoja),cloudy,17.0,Friday,20.6
Route 33 (CBD-Umoja),heavy_rain,13.0,Monday,22.3
Route 33 (CBD-Umoja),heavy_rain,14.0,Sunday,10.3
Route 58 (CBD-Westlands),light_rain,9.0,Saturday,
Route 111 (CBD-Rongai),sunny,16.0,Saturday,16.1
Route 111 (CBD-Rongai),cloudy,11.0,Tuesday,22.8
Route 46 (CBD-Kikuyu),light_rain,10.0,Wednesday,23.4
Route 9 (CBD-Karen),light_rain,8.0,Thursday,27.4
Route 111 (CBD-Rongai),light_rain,7.0,Sunday,32.1
Route 9 (CBD-Karen),light_rain,17.0,Sunday,22.9
Route 111 (CBD-Rongai),sunny,22.0,Wednesday,19.2
Route 111 (CBD-Rongai),light_rain,18.0,Monday,35.9
Route 111 (CBD-Rongai),sunny,8.0,Tuesday,35.5
Route 46 (CBD-Kikuyu),heavy_rain,9.0,Thursday,45.5
Route 9 (CBD-Karen),sunny,16.0,Tuesday,5.2
Route 33 (CBD-Umoja),light_rain,22.0,Saturday,11.4
Route 33 (CBD-Umoja),heavy_rain,7.0,Saturday,21.3
Route 33 (CBD-Umoja),light_rain,12.0,Tuesday,15.9
Route 46 (CBD-Kikuyu),cloudy,11.0,Sunday,17.4
Route 46 (CBD-Kikuyu),sunny,13.0,Sunday,6.7
Route 58 (CBD-Westlands),,5.0,Tuesday,15.9
Route 9 (CBD-Karen),sunny,10.0,Wednesday,11.7
Route 33 (CBD-Umoja),heavy_rain,19.0,Sunday,28.5
Route 58 (CBD-Westlands),sunny,21.0,Wednesday,19.6
Route 111 (CBD-Rongai),heavy_rain,18.0,Saturday,48.2
Route 33 (CBD-Umoja),light_rain,9.0,Monday,19.8
Route 9 (CBD-Karen),heavy_rain,21.0,Wednesday,20.4
Route 33 (CBD-Umoja),cloudy,18.0,Thursday,16.3
Route 111 (CBD-Rongai),heavy_rain,8.0,Wednesday,52.9
Route 58 (CBD-Westlands),heavy_rain,7.0,Monday,40.2
Route 9 (CBD-Karen),cloudy,22.0,Monday,13.1
Route 33 (CBD-Umoja),heavy_rain,16.0,Sunday,18.5
Route 33 (CBD-Umoja),light_rain,14.0,Wednesday,12.9
Route 111 (CBD-Rongai),cloudy,8.0,Wednesday,37.4
Route 46 (CBD-Kikuyu),cloudy,18.0,Sunday,21.7
Route 46 (CBD-Kikuyu),sunny,13.0,Monday,24.9
Route 9 (CBD-Karen),light_rain,5.0,Tuesday,18.5
Route 58 (CBD-Westlands),sunny,7.0,Saturday,14.6
Route 58 (CBD-Westlands),light_rain,14.0,Saturday,10.9
Route 33 (CBD-Umoja),cloudy,10.0,Sunday,7.5
Route 111 (CBD-Rongai),heavy_rain,19.0,Thursday,52.3
Route 111 (CBD-Rongai),sunny,14.0,Saturday,16.9
Route 33 (CBD-Umoja),cloudy,17.0,Friday,21.5
Route 58 (CBD-Westlands),light_rain,14.0,Wednesday,18.9
Route 58 (CBD-Westlands),heavy_rain,22.0,Saturday,21.4
Route 9 (CBD-Karen),sunny,17.0,Sunday,9.9
Route 33 (CBD-Umoja),light_rain,18.0,Friday,21.0
Route 111 (CBD-Rongai),sunny,15.0,Tuesday,21.4
Route 9 (CBD-Karen),sunny,18.0,Sunday,16.9
Route 33 (CBD-Umoja),heavy_rain,14.0,Saturday,10.2
Route 46 (CBD-Kikuyu),sunny,21.0,Friday,14.7
Route 58 (CBD-Westlands),cloudy,8.0,Tuesday,25.9
Route 33 (CBD-Umoja),cloudy,20.0,Thursday,6.1
Route 46 (CBD-Kikuyu),light_rain,15.0,Tuesday,23.0
Route 9 (CBD-Karen),sunny,16.0,Friday,
Route 9 (CBD-Karen),light_rain,7.0,Saturday,17.4
Route 46 (CBD-Kikuyu),heavy_rain,19.0,Friday,45.0
Route 111 (CBD-Rongai),cloudy,15.0,Friday,23.8
Route 33 (CBD-Umoja),light_rain,7.0,Friday,27.1
Route 111 (CBD-Rongai),cloudy,16.0,Wednesday,25.8
Route 46 (CBD-Kikuyu),sunny,15.0,Monday,8.5
Route 9 (CBD-Karen),cloudy,15.0,Monday,8.2
Route 111 (CBD-Rongai),cloudy,7.0,Wednesday,33.7
Route 58 (CBD-Westlands),sunny,18.0,Friday,24.1
Route 58 (CBD-Westlands),light_rain,20.0,Tuesday,21.3
Route 33 (CBD-Umoja),sunny,15.0,Sunday,19.4
Route 58 (CBD-Westlands),cloudy,19.0,Monday,26.7
Route 111 (CBD-Rongai),light_rain,19.0,Tuesday,43.3
Route 111 (CBD-Rongai),cloudy,16.0,Saturday,21.4
Route 9 (CBD-Karen),heavy_rain,21.0,Friday,26.6
Route 46 (CBD-Kikuyu),cloudy,13.0,Monday,15.5
Route 33 (CBD-Umoja),sunny,14.0,Monday,11.0
Route 58 (CBD-Westlands),heavy_rain,7.0,Tuesday,35.7
Route 111 (CBD-Rongai),sunny,17.0,Friday,27.1
Route 58 (CBD-Westlands),sunny,15.0,Monday,10.1
Route 58 (CBD-Westlands),sunny,14.0,Sunday,8.3
Route 111 (CBD-Rongai),,5.0,Monday,52.5
Route 46 (CBD-Kikuyu),heavy_rain,8.0,Sunday,32.1
Route 111 (CBD-Rongai),heavy_rain,7.0,Monday,55.9
Route 46 (CBD-Kikuyu),cloudy,9.0,Wednesday,20.3
Route 111 (CBD-Rongai),cloudy,7.0,Friday,29.7
Route 46 (CBD-Kikuyu),sunny,17.0,Sunday,24.4
Route 9 (CBD-Karen),sunny,16.0,Sunday,6.3
Route 33 (CBD-Umoja),light_rain,9.0,Monday,18.5
Route 111 (CBD-Rongai),heavy_rain,10.0,Sunday,36.3
Route 33 (CBD-Umoja),light_rain,11.0,Monday,15.5
Route 9 (CBD-Karen),heavy_rain,22.0,Thursday,21.1
Route 9 (CBD-Karen),sunny,15.0,Wednesday,10.9
Route 111 (CBD-Rongai),heavy_rain,15.0,Tuesday,43.4
Route 46 (CBD-Kikuyu),light_rain,7.0,Saturday,25.8
Route 58 (CBD-Westlands),light_rain,15.0,Monday,27.8
Route 46 (CBD-Kikuyu),heavy_rain,10.0,Saturday,32.1
Route 9 (CBD-Karen),heavy_rain,13.0,Saturday,11.9
Route 111 (CBD-Rongai),light_rain,21.0,Sunday,
Route 46 (CBD-Kikuyu),heavy_rain,6.0,Tuesday,31.0
Route 111 (CBD-Rongai),sunny,9.0,Saturday,27.4
Route 33 (CBD-Umoja),cloudy,21.0,Wednesday,6.4
Route 33 (CBD-Umoja),sunny,10.0,Thursday,7.5
Route 9 (CBD-Karen),heavy_rain,11.0,Friday,26.0
Route 33 (CBD-Umoja),cloudy,7.0,Thursday,23.1
Route 9 (CBD-Karen),light_rain,7.0,Friday,21.2
Route 58 (CBD-Westlands),light_rain,21.0,Tuesday,17.9
Route 111 (CBD-Rongai),sunny,16.0,Friday,16.1
Route 58 (CBD-Westlands),sunny,7.0,Wednesday,19.4
Route 111 (CBD-Rongai),heavy_rain,7.0,Tuesday,60.3
Route 46 (CBD-Kikuyu),light_rain,9.0,Sunday,30.0
Route 58 (CBD-Westlands),heavy_rain,21.0,Sunday,19.8
Route 58 (CBD-Westlands),cloudy,15.0,Saturday,14.1
Route 9 (CBD-Karen),sunny,13.0,Tuesday,18.5
Route 9 (CBD-Karen),sunny,21.0,Saturday,10.1
Route 46 (CBD-Kikuyu),light_rain,6.0,Sunday,12.3
Route 46 (CBD-Kikuyu),light_rain,11.0,Sunday,
Route 46 (CBD-Kikuyu),light_rain,14.0,Thursday,27.5
Route 111 (CBD-Rongai),sunny,6.0,Tuesday,15.2
Route 46 (CBD-Kikuyu),cloudy,15.0,Sunday,14.6
Route 111 (CBD-Rongai),cloudy,16.0,Friday,24.7
Route 9 (CBD-Karen),heavy_rain,12.0,Tuesday,20.3
Route 46 (CBD-Kikuyu),heavy_rain,12.0,Sunday,29.4
Route 9 (CBD-Karen),cloudy,10.0,Thursday,0.0
Route 111 (CBD-Rongai),sunny,7.0,Thursday,23.9
Route 9 (CBD-Karen),sunny,6.0,Wednesday,9.0
Route 111 (CBD-Rongai),light_rain,22.0,Monday,23.8
Route 9 (CBD-Karen),heavy_rain,16.0,Monday,30.5
Route 46 (CBD-Kikuyu),light_rain,7.0,Thursday,26.7
Route 46 (CBD-Kikuyu),sunny,9.0,Monday,22.2
Route 9 (CBD-Karen),cloudy,11.0,Friday,12.5
Route 58 (CBD-Westlands),light_rain,20.0,Friday,25.0
Route 9 (CBD-Karen),light_rain,10.0,Thursday,10.3
Route 9 (CBD-Karen),heavy_rain,14.0,Thursday,28.7
Route 111 (CBD-Rongai),light_rain,5.0,Friday,28.8
Route 46 (CBD-Kikuyu),cloudy,6.0,Friday,12.9
Route 111 (CBD-Rongai),cloudy,12.0,Monday,23.4
Route 111 (CBD-Rongai),light_rain,18.0,Tuesday,39.6
Route 46 (CBD-Kikuyu),heavy_rain,6.0,Saturday,27.2
Route 111 (CBD-Rongai),heavy_rain,15.0,Tuesday,43.5
Route 9 (CBD-Karen),heavy_rain,11.0,Tuesday,22.5
Route 9 (CBD-Karen),light_rain,11.0,Saturday,12.5
Route 9 (CBD-Karen),light_rain,8.0,Friday,28.6
Route 9 (CBD-Karen),cloudy,14.0,Monday,18.3
Route 111 (CBD-Rongai),light_rain,20.0,Tuesday,23.8
Route 9 (CBD-Karen),cloudy,8.0,Friday,30.5
Route 46 (CBD-Kikuyu),cloudy,12.0,Monday,9.0
Route 58 (CBD-Westlands),sunny,22.0,Tuesday,11.4
Route 111 (CBD-Rongai),cloudy,14.0,Wednesday,24.0
Route 46 (CBD-Kikuyu),cloudy,22.0,Saturday,13.9
Route 58 (CBD-Westlands),heavy_rain,10.0,Monday,26.3
Route 9 (CBD-Karen),sunny,5.0,Wednesday,9.2
Route 9 (CBD-Karen),heavy_rain,22.0,Friday,22.0
Route 111 (CBD-Rongai),light_rain,11.0,Sunday,22.4
Route 9 (CBD-Karen),cloudy,5.0,Saturday,11.4
Route 58 (CBD-Westlands),cloudy,17.0,Sunday,21.8
Route 33 (CBD-Umoja),cloudy,9.0,Thursday,16.8
Route 58 (CBD-Westlands),heavy_rain,13.0,Wednesday,
Route 9 (CBD-Karen),cloudy,6.0,Saturday,9.2
Route 46 (CBD-Kikuyu),light_rain,8.0,Saturday,31.7
Route 58 (CBD-Westlands),cloudy,20.0,Tuesday,16.9
Route 46 (CBD-Kikuyu),heavy_rain,22.0,Sunday,26.3
Route 46 (CBD-Kikuyu),sunny,21.0,Thursday,11.8
Route 33 (CBD-Umoja),sunny,22.0,Friday,11.0
Route 46 (CBD-Kikuyu),heavy_rain,8.0,Saturday,42.0
Route 46 (CBD-Kikuyu),heavy_rain,6.0,Thursday,33.5
Route 46 (CBD-Kikuyu),,14.0,Saturday,
Route 58 (CBD-Westlands),sunny,6.0,Thursday,17.1
Route 33 (CBD-Umoja),heavy_rain,6.0,Wednesday,16.8
Route 111 (CBD-Rongai),light_rain,17.0,Thursday,41.0
Route 46 (CBD-Kikuyu),cloudy,16.0,Monday,16.0
Route 58 (CBD-Westlands),sunny,5.0,Wednesday,11.1
Route 111 (CBD-Rongai),cloudy,12.0,Thursday,26.0
Route 33 (CBD-Umoja),sunny,18.0,Friday,
Route 58 (CBD-Westlands),,8.0,Friday,25.3
Route 33 (CBD-Umoja),cloudy,6.0,Thursday,14.8
Route 33 (CBD-Umoja),cloudy,21.0,Wednesday,9.7
Route 46 (CBD-Kikuyu),light_rain,12.0,Wednesday,25.1
Route 111 (CBD-Rongai),light_rain,13.0,Monday,27.6
Route 58 (CBD-Westlands),,22.0,Thursday,30.1
Route 111 (CBD-Rongai),light_rain,18.0,Thursday,38.3
Route 111 (CBD-Rongai),cloudy,12.0,Wednesday,22.0
Route 33 (CBD-Umoja),heavy_rain,18.0,Friday,31.6
Route 9 (CBD-Karen),sunny,19.0,Sunday,12.7
Route 33 (CBD-Umoja),light_rain,17.0,Saturday,27.2
Route 46 (CBD-Kikuyu),cloudy,20.0,Tuesday,12.8
Route 33 (CBD-Umoja),cloudy,11.0,Saturday,0.7
Route 58 (CBD-Westlands),cloudy,17.0,Tuesday,29.0
Route 46 (CBD-Kikuyu),light_rain,14.0,Wednesday,25.6
Route 111 (CBD-Rongai),light_rain,11.0,Wednesday,31.3
Route 58 (CBD-Westlands),sunny,13.0,Friday,14.5
Route 58 (CBD-Westlands),cloudy,15.0,Tuesday,14.4
Route 9 (CBD-Karen),light_rain,20.0,Saturday,8.4
Route 9 (CBD-Karen),cloudy,9.0,Saturday,18.3
Route 33 (CBD-Umoja),sunny,7.0,Sunday,11.3
Route 58 (CBD-Westlands),sunny,9.0,Monday,25.9
Route 46 (CBD-Kikuyu),,20.0,Monday,
Route 46 (CBD-Kikuyu),,22.0,Wednesday,19.1
Route 58 (CBD-Westlands),sunny,8.0,Friday,20.7
Route 9 (CBD-Karen),light_rain,17.0,Monday,27.7
Route 58 (CBD-Westlands),light_rain,7.0,Saturday,
Route 111 (CBD-Rongai),heavy_rain,17.0,Friday,49.9
Route 33 (CBD-Umoja),heavy_rain,18.0,Saturday,26.2
Route 33 (CBD-Umoja),sunny,12.0,Tuesday,9.0
Route 9 (CBD-Karen),sunny,7.0,Saturday,14.0
Route 33 (CBD-Umoja),cloudy,15.0,Monday,7.7
Route 111 (CBD-Rongai),sunny,14.0,Tuesday,18.9
Route 46 (CBD-Kikuyu),light_rain,17.0,Sunday,22.6
Route 33 (CBD-Umoja),light_rain,6.0,Monday,7.2
Route 46 (CBD-Kikuyu),heavy_rain,15.0,Monday,30.7
Route 58 (CBD-Westlands),light_rain,22.0,Thursday,18.3
Route 33 (CBD-Umoja),light_rain,12.0,Saturday,10.0
Route 58 (CBD-Westlands),heavy_rain,,Wednesday,34.7
Route 9 (CBD-Karen),light_rain,8.0,Tuesday,29.4
Route 46 (CBD-Kikuyu),heavy_rain,8.0,Monday,43.0
Route 9 (CBD-Karen),heavy_rain,5.0,Wednesday,23.9
Route 46 (CBD-Kikuyu),cloudy,21.0,Tuesday,12.8
Route 9 (CBD-Karen),heavy_rain,9.0,Monday,33.9
Route 33 (CBD-Umoja),light_rain,13.0,Tuesday,11.6
Route 111 (CBD-Rongai),,9.0,Wednesday,29.3
Route 111 (CBD-Rongai),light_rain,19.0,Wednesday,35.5
Route 46 (CBD-Kikuyu),cloudy,14.0,Wednesday,18.9
Route 58 (CBD-Westlands),heavy_rain,15.0,Wednesday,34.9
Route 58 (CBD-Westlands),light_rain,17.0,Wednesday,28.8
Route 46 (CBD-Kikuyu),cloudy,22.0,Tuesday,18.4
Route 111 (CBD-Rongai),cloudy,19.0,Sunday,30.4
Route 111 (CBD-Rongai),heavy_rain,9.0,Saturday,47.6
Route 111 (CBD-Rongai),heavy_rain,7.0,Thursday,54.1
Route 46 (CBD-Kikuyu),heavy_rain,22.0,Monday,33.7
Route 46 (CBD-Kikuyu),sunny,8.0,Sunday,20.4
Route 46 (CBD-Kikuyu),sunny,17.0,Sunday,16.9
Route 33 (CBD-Umoja),light_rain,12.0,Friday,12.9
Route 58 (CBD-Westlands),heavy_rain,16.0,Thursday,30.8
Route 58 (CBD-Westlands),light_rain,5.0,Thursday,25.0
Route 33 (CBD-Umoja),cloudy,16.0,Wednesday,13.4
Route 9 (CBD-Karen),heavy_rain,8.0,Thursday,42.6
Route 33 (CBD-Umoja),sunny,5.0,Sunday,0.9
Route 58 (CBD-Westlands),cloudy,22.0,Tuesday,17.9
Route 111 (CBD-Rongai),cloudy,10.0,Saturday,18.3
Route 58 (CBD-Westlands),,18.0,Thursday,47.6
Route 33 (CBD-Umoja),sunny,22.0,Tuesday,4.8
Route 111 (CBD-Rongai),light_rain,17.0,Friday,35.4
Route 111 (CBD-Rongai),cloudy,14.0,Friday,19.2
Route 58 (CBD-Westlands),light_rain,8.0,Tuesday,20.7
Route 46 (CBD-Kikuyu),cloudy,17.0,Thursday,24.7
Route 58 (CBD-Westlands),cloudy,20.0,Wednesday,11.4
Route 33 (CBD-Umoja),light_rain,5.0,Thursday,13.4
Route 46 (CBD-Kikuyu),heavy_rain,18.0,Saturday,41.0
Route 58 (CBD-Westlands),sunny,5.0,Sunday,15.5
Route 46 (CBD-Kikuyu),light_rain,10.0,Sunday,22.2
Route 46 (CBD-Kikuyu),sunny,8.0,Wednesday,21.7
Route 33 (CBD-Umoja),heavy_rain,22.0,Tuesday,15.6
Route 58 (CBD-Westlands),light_rain,6.0,Thursday,21.2
Route 33 (CBD-Umoja),cloudy,11.0,Sunday,0.3
Route 46 (CBD-Kikuyu),heavy_rain,10.0,Friday,40.9
Route 33 (CBD-Umoja),light_rain,22.0,Wednesday,17.5
Route 9 (CBD-Karen),light_rain,13.0,Sunday,10.1
Route 58 (CBD-Westlands),heavy_rain,6.0,Wednesday,21.9
Route 58 (CBD-Westlands),cloudy,15.0,Sunday,15.8
Route 58 (CBD-Westlands),light_rain,18.0,Thursday,28.7
Route 33 (CBD-Umoja),heavy_rain,21.0,Saturday,20.2
Route 111 (CBD-Rongai),light_rain,5.0,Sunday,18.4
Route 111 (CBD-Rongai),light_rain,7.0,Sunday,32.4
Route 58 (CBD-Westlands),heavy_rain,13.0,Wednesday,28.8
Route 46 (CBD-Kikuyu),heavy_rain,15.0,Saturday,29.8
Route 111 (CBD-Rongai),sunny,8.0,Sunday,22.2
Route 111 (CBD-Rongai),cloudy,9.0,Saturday,30.1
Route 33 (CBD-Umoja),light_rain,13.0,Monday,8.5
Route 111 (CBD-Rongai),light_rain,12.0,Thursday,
Route 111 (CBD-Rongai),sunny,9.0,Friday,
Route 9 (CBD-Karen),sunny,18.0,Saturday,18.1
Route 33 (CBD-Umoja),sunny,15.0,Wednesday,10.8
Route 58 (CBD-Westlands),cloudy,7.0,Friday,19.9
Route 9 (CBD-Karen),cloudy,9.0,Thursday,15.9
Route 33 (CBD-Umoja),cloudy,8.0,Friday,24.7
Route 58 (CBD-Westlands),cloudy,13.0,Saturday,11.7
Route 46 (CBD-Kikuyu),light_rain,5.0,Sunday,15.4
Route 46 (CBD-Kikuyu),cloudy,17.0,Wednesday,33.0
Route 58 (CBD-Westlands),heavy_rain,17.0,Monday,39.3
Route 33 (CBD-Umoja),light_rain,15.0,Tuesday,17.5
Route 46 (CBD-Kikuyu),cloudy,20.0,Sunday,
